"spp_name","trait_name","value","unit","kind","source","comment"
"Abies fraseri","WUE",10.6980037593842,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies fraseri","height",24.5545915985107,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies fraseri","SLA",14.0329328568776,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies fraseri","LeafN",15.9268360392253,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","gsmax",97.3953295898438,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","P12",-2.66868511120478,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","P50",-3.50256813605626,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","P88",-4.63838234504064,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","Rooting Depth maximum",1.63366436640422,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","WUE",3.47955544392268,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","height",50.1044354375203,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","SLA",12.0790265687307,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","LeafN",13.7136368401845,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies lasiocarpa","gsmax",87.4342641448975,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies lasiocarpa","P12",-3.18838842312495,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies lasiocarpa","P50",-2.95061527808507,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies lasiocarpa","P88",-3.96057113488515,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies lasiocarpa","Rooting Depth maximum",1.27970614101738,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies lasiocarpa","WUE",11.6727507832646,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies lasiocarpa","height",26.4300368690491,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies lasiocarpa","SLA",13.2927165635427,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies lasiocarpa","LeafN",14.3388230880102,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies magnifica","gsmax",128.743723875682,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies magnifica","P12",-3.77187610367934,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
